"","TAXON_ID","Sci_Name","COMMON_NAME","TaxaGroup","TAXON_TYPE","Extinction_Risk","FFG_Status","Sci_Name_Alt"
"1",11150,"Cercartetus nanus","Eastern Pygmy-possum","Mammals","Mammals","NotListed","NotListed","Cercartetus nanus"
"2",11152,"Cercartetus lepidus","Little Pygmy-possum","Mammals","Mammals","NotListed","NotListed","Cercartetus lepidus"
"3",13166,"Litoria aurea","Green and Golden Bell Frog","Amphibians","Amphibians","NotListed","NotListed","Litoria aurea"
"4",13204,"Litoria peronii","Peron's Tree Frog","Amphibians","Amphibians","NotListed","NotListed","Litoria peronii"
"5",13182,"Litoria ewingii","Southern Brown Tree Frog","Amphibians","Amphibians","NotListed","NotListed","Litoria ewingii"
"6",63906,"Litoria verreauxii verreauxii","Verreaux's Tree Frog","Amphibians","Amphibians","NotListed","NotListed","Litoria verreauxii"
"7",13192,"Litoria lesueuri","Lesueur's Frog","Amphibians","Amphibians","NotListed","NotListed","Litoria lesueurii"
"8",13203,"Litoria paraewingi","Plains Brown Tree Frog","Amphibians","Amphibians","NotListed","NotListed","Litoria paraewingi"
"9",13175,"Litoria citropa","Blue Mountains Tree Frog","Amphibians","Amphibians","NotListed","NotListed","Litoria citropa"
"10",10614,"Lichenostomus chrysops","Yellow-faced Honeyeater","Birds","Passerine birds","NotListed","NotListed","Caligavis chrysops"
"11",10625,"Lichenostomus penicillatus","White-plumed Honeyeater","Birds","Passerine birds","NotListed","NotListed","Ptilotula penicillata"
"12",10617,"Lichenostomus leucotis","White-eared Honeyeater","Birds","Passerine birds","NotListed","NotListed","Nesoptilotis leucotis"
"13",10619,"Lichenostomus melanops","Yellow-tufted Honeyeater","Birds","Passerine birds","NotListed","NotListed","Lichenostomus melanops"
"14",10608,"Lichenostomus virescens","Singing Honeyeater","Birds","Passerine birds","NotListed","NotListed","Gavicalis virescens"
"15",10622,"Lichenostomus ornatus","Yellow-plumed Honeyeater","Birds","Passerine birds","NotListed","NotListed","Ptilotula ornata"
"16",10613,"Lichenostomus fuscus","Fuscous Honeyeater","Birds","Passerine birds","NotListed","NotListed","Ptilotula fusca"
"17",10620,"Lichenostomus cratitius","Purple-gaped Honeyeater","Birds","Passerine birds","Victoria","Vulnerable","Lichenostomus cratitius"
"18",10486,"Acanthiza chrysorrhoa","Yellow-rumped Thornbill","Birds","Passerine birds","NotListed","NotListed","Acanthiza chrysorrhoa"
"19",10475,"Acanthiza pusilla","Brown Thornbill","Birds","Passerine birds","NotListed","NotListed","Acanthiza pusilla"
"20",10470,"Acanthiza lineata","Striated Thornbill","Birds","Passerine birds","NotListed","NotListed","Acanthiza lineata"
"21",10484,"Acanthiza reguloides","Buff-rumped Thornbill","Birds","Passerine birds","NotListed","NotListed","Acanthiza reguloides"
"22",10471,"Acanthiza nana","Yellow Thornbill","Birds","Passerine birds","NotListed","NotListed","Acanthiza nana"
"23",10481,"Acanthiza uropygialis","Chestnut-rumped Thornbill","Birds","Passerine birds","NotListed","NotListed","Acanthiza uropygialis"
"24",10163,"Calidris acuminata","Sharp-tailed Sandpiper","Birds","Waders","NotListed","NotListed","Calidris acuminata"
"25",10476,"Acanthiza apicalis","Inland Thornbill","Birds","Passerine birds","NotListed","NotListed","Acanthiza apicalis"
"26",10162,"Calidris ruficollis","Red-necked Stint","Birds","Waders","NotListed","NotListed","Calidris ruficollis"
"27",10978,"Calidris melanotos","Pectoral Sandpiper","Birds","Waders","NotListed","NotListed","Calidris melanotos"
"28",10161,"Calidris ferruginea","Curlew Sandpiper","Birds","Waders","Australia","Critically Endangered","Calidris ferruginea"
"29",10164,"Calidris canutus","Red Knot","Birds","Waders","Australia","Endangered","Calidris canutus"
"30",10166,"Calidris alba","Sanderling","Birds","Waders","NotListed","NotListed","Calidris alba"
"31",10965,"Calidris subminuta","Long-toed Stint","Birds","Waders","NotListed","NotListed","Calidris subminuta"
"32",13058,"Limnodynastes dumerilii","Southern Bullfrog (ssp. unknown)","Amphibians","Amphibians","NotListed","NotListed","Limnodynastes dumerilii"
"33",13063,"Limnodynastes tasmaniensis","Spotted Marsh Frog (race unknown)","Amphibians","Amphibians","NotListed","NotListed","Limnodynastes tasmaniensis"
